condition,replicate,major_category,label,category_n,feature,observed,expected,lift,z_score,empirical_p
full_dictionary,0,ネコ,Neko,466,hydrology,52,99.984,0.52008,-5.6126,0.002
full_dictionary,0,ネコ,Neko,466,mobility,54,80.014,0.67488,-3.3617,0.00399
full_dictionary,0,ネコ,Neko,466,boundary,84,87.956,0.95502,-0.4726,0.33733
full_dictionary,0,ネコ,Neko,466,livelihood,52,94.346,0.55116,-5.0796,0.002
full_dictionary,0,ネコ,Neko,466,dwelling,137,120.552,1.13644,1.7446,0.0499
full_dictionary,0,ネコ,Neko,466,death_ritual,156,66.35,2.35117,12.3026,0.002
full_dictionary,0,ネコ,Neko,466,taboo_time_weather,117,101.93,1.14785,1.743,0.04192
full_dictionary,0,ネコ,Neko,466,actors,98,129.808,0.75496,-3.2119,0.002
full_dictionary,0,ネコ,Neko,466,actions,42,46.094,0.91118,-0.6166,0.28942
full_dictionary,0,ネコ,Neko,466,strict_boundary_interface,115,129.098,0.8908,-1.4951,0.07784
full_dictionary,0,ヒノタマ,Hitodama,249,hydrology,35,51.708,0.67688,-2.7238,0.00399
full_dictionary,0,ヒノタマ,Hitodama,249,mobility,34,42.792,0.79454,-1.494,0.08782
full_dictionary,0,ヒノタマ,Hitodama,249,boundary,58,44.868,1.29268,2.0788,0.02794
full_dictionary,0,ヒノタマ,Hitodama,249,livelihood,25,46.758,0.53467,-3.4065,0.00599
full_dictionary,0,ヒノタマ,Hitodama,249,dwelling,58,60.27,0.96234,-0.3417,0.39721
full_dictionary,0,ヒノタマ,Hitodama,249,death_ritual,53,39.124,1.35467,2.4846,0.00798
full_dictionary,0,ヒノタマ,Hitodama,249,taboo_time_weather,80,52.666,1.51901,4.3077,0.002
full_dictionary,0,ヒノタマ,Hitodama,249,actors,37,66.53,0.55614,-4.2841,0.002
full_dictionary,0,ヒノタマ,Hitodama,249,actions,48,29.744,1.61377,3.8916,0.002
full_dictionary,0,ヒノタマ,Hitodama,249,strict_boundary_interface,66,67.736,0.97437,-0.2461,0.42116
category_name_masked,0,その他,Other,19084,hydrology,3436,3732.846,0.92048,-8.2977,0.002
category_name_masked,0,その他,Other,19084,mobility,3101,3242.3,0.95642,-4.3299,0.002
category_name_masked,0,その他,Other,19084,boundary,3838,3539.21,1.08442,9.1159,0.002
category_name_masked,0,その他,Other,19084,livelihood,3612,3703.852,0.9752,-2.6,0.00599
category_name_masked,0,その他,Other,19084,dwelling,4873,4750.984,1.02568,3.0832,0.002
category_name_masked,0,その他,Other,19084,death_ritual,2606,2534.744,1.02811,2.4284,0.01397
category_name_masked,0,その他,Other,19084,taboo_time_weather,4061,4116.73,0.98646,-1.4957,0.07385
category_name_masked,0,その他,Other,19084,actors,5044,5264.362,0.95814,-5.6763,0.002
category_name_masked,0,その他,Other,19084,actions,2114,2043.16,1.03467,2.6265,0.01397
category_name_masked,0,その他,Other,19084,strict_boundary_interface,4926,5093.876,0.96704,-4.1917,0.002
category_name_masked,0,キツネ,Kitsune,3618,hydrology,446,745.048,0.59862,-13.7973,0.002
category_name_masked,0,キツネ,Kitsune,3618,mobility,759,585.572,1.29617,8.2212,0.002
category_name_masked,0,キツネ,Kitsune,3618,boundary,375,679.006,0.55228,-14.1962,0.002
category_name_masked,0,キツネ,Kitsune,3618,livelihood,865,701.852,1.23245,7.3746,0.002
category_name_masked,0,キツネ,Kitsune,3618,dwelling,871,911.546,0.95552,-1.729,0.05589
category_name_masked,0,キツネ,Kitsune,3618,death_ritual,185,449.242,0.4118,-14.6667,0.002
category_name_masked,0,キツネ,Kitsune,3618,taboo_time_weather,717,752.076,0.95336,-1.4936,0.07385
category_name_masked,0,キツネ,Kitsune,3618,actors,878,966.81,0.90814,-3.5343,0.00399
category_name_masked,0,キツネ,Kitsune,3618,actions,310,427.176,0.7257,-6.545,0.002
category_name_masked,0,キツネ,Kitsune,3618,strict_boundary_interface,737,963.986,0.76453,-9.2874,0.002
