major_category,category_label,category_n,feature,feature_label,analysis_role,observed_count,observed_prevalence,observed_prevalence_ci_low,observed_prevalence_ci_high,null_mean_count,null_median_prevalence,null_prevalence_ci_low,null_prevalence_ci_high,observed_to_null_ratio,prevalence_difference,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,empirical_p_positive,empirical_p_negative,empirical_p_two_sided,valid_permutations,stratification,benjamini_hochberg_q
オニ,Oni,807,death_ritual,Death ritual,screened cell,87,0.10781,0.08824,0.13109,117.568,0.14498,0.12268,0.16976,0.74,-0.03788,0.694,0.55442,0.86873,0.9985,0.0017,0.004,10000,prefecture,0.006315
オニ,Oni,807,taboo_time_weather,"Taboo, time, or weather",screened cell,172,0.21314,0.18627,0.24271,173.319,0.21437,0.18835,0.24287,0.99239,-0.00163,0.9929,0.83722,1.17753,0.564644,0.471153,0.964204,10000,prefecture,0.964204
オニ,Oni,807,actors,Actors,screened cell,239,0.29616,0.26568,0.32856,218.984,0.27138,0.2416,0.30235,1.09141,0.0248,1.12555,0.96579,1.31173,0.059194,0.949305,0.119288,10000,prefecture,0.143146
オニ,Oni,807,actions,Actions,screened cell,65,0.08055,0.0637,0.10137,84.902,0.10533,0.0855,0.12515,0.76559,-0.02466,0.7094,0.54923,0.91627,0.993201,0.009599,0.018698,10000,prefecture,0.02609
オニ,Oni,807,strict_boundary_interface,Strict interface,screened cell,137,0.16976,0.14544,0.19722,111.757,0.13879,0.11524,0.16233,1.22587,0.03128,1.31747,1.09329,1.58761,0.006299,0.9956,0.009799,10000,prefecture,0.014885
ヤマノカミ,Yama-no-kami,722,hydrology,Water setting,screened cell,93,0.12881,0.10632,0.15522,160.453,0.22161,0.19391,0.25208,0.57961,-0.09343,0.55363,0.44458,0.68943,1.0,0.0001,0.0001,10000,prefecture,0.000211
ヤマノカミ,Yama-no-kami,722,mobility,Mobility,screened cell,51,0.07064,0.05413,0.09169,115.078,0.15928,0.13296,0.1856,0.44318,-0.08875,0.37033,0.27817,0.49301,1.0,0.0001,0.0001,10000,prefecture,0.000211
ヤマノカミ,Yama-no-kami,722,boundary,Boundary,screened cell,93,0.12881,0.10632,0.15522,127.803,0.17729,0.15097,0.20499,0.72768,-0.0482,0.64471,0.51764,0.80298,0.9998,0.0004,0.0007,10000,prefecture,0.001273
ヤマノカミ,Yama-no-kami,722,livelihood,Livelihood,screened cell,213,0.29501,0.2629,0.32929,141.192,0.19529,0.16759,0.22438,1.50859,0.09946,1.78351,1.51629,2.09783,0.0001,1.0,0.0001,10000,prefecture,0.000211
ヤマノカミ,Yama-no-kami,722,dwelling,Dwelling,screened cell,121,0.16759,0.14212,0.19658,174.752,0.24238,0.21191,0.27285,0.69241,-0.07445,0.60607,0.49775,0.73796,1.0,0.0001,0.0001,10000,prefecture,0.000211
ヤマノカミ,Yama-no-kami,722,death_ritual,Death ritual,screened cell,20,0.0277,0.018,0.0424,98.954,0.13712,0.11357,0.16205,0.20211,-0.10935,0.1615,0.10344,0.25214,1.0,0.0001,0.0001,10000,prefecture,0.000211
ヤマノカミ,Yama-no-kami,722,taboo_time_weather,"Taboo, time, or weather",screened cell,155,0.21468,0.18628,0.2461,152.941,0.21191,0.18283,0.241,1.01346,0.00285,1.0023,0.83752,1.1995,0.438956,0.59924,0.888611,10000,prefecture,0.898297
