reported_quantity,value,source_file,json_path
archive_language.focal_associations[6].null_median_prevalence,0.21285,results.json,archive_language.focal_associations[6].null_median_prevalence
archive_language.focal_associations[6].null_prevalence_ci_low,0.16466,results.json,archive_language.focal_associations[6].null_prevalence_ci_low
archive_language.focal_associations[6].null_prevalence_ci_high,0.26506,results.json,archive_language.focal_associations[6].null_prevalence_ci_high
archive_language.focal_associations[6].observed_to_null_ratio,1.50999,results.json,archive_language.focal_associations[6].observed_to_null_ratio
archive_language.focal_associations[6].prevalence_difference,0.10851,results.json,archive_language.focal_associations[6].prevalence_difference
archive_language.focal_associations[6].odds_ratio,1.74384,results.json,archive_language.focal_associations[6].odds_ratio
archive_language.focal_associations[6].odds_ratio_ci_low,1.33483,results.json,archive_language.focal_associations[6].odds_ratio_ci_low
archive_language.focal_associations[6].odds_ratio_ci_high,2.27818,results.json,archive_language.focal_associations[6].odds_ratio_ci_high
archive_language.focal_associations[6].empirical_p_positive,0.0001,results.json,archive_language.focal_associations[6].empirical_p_positive
archive_language.focal_associations[6].empirical_p_negative,1.0,results.json,archive_language.focal_associations[6].empirical_p_negative
archive_language.focal_associations[6].empirical_p_two_sided,0.0001,results.json,archive_language.focal_associations[6].empirical_p_two_sided
archive_language.focal_associations[6].valid_permutations,10000,results.json,archive_language.focal_associations[6].valid_permutations
archive_language.focal_associations[6].benjamini_hochberg_q,0.000211,results.json,archive_language.focal_associations[6].benjamini_hochberg_q
archive_language.kappa_water_distance_diagnostic.admin2_records,1231,results.json,archive_language.kappa_water_distance_diagnostic.admin2_records
archive_language.kappa_water_distance_diagnostic.kappa_records,48,results.json,archive_language.kappa_water_distance_diagnostic.kappa_records
archive_language.kappa_water_distance_diagnostic.observed_median_km,0.371,results.json,archive_language.kappa_water_distance_diagnostic.observed_median_km
archive_language.kappa_water_distance_diagnostic.null_distribution_median_km,0.283,results.json,archive_language.kappa_water_distance_diagnostic.null_distribution_median_km
archive_language.kappa_water_distance_diagnostic.null_interval_95_km[0],0.218,results.json,archive_language.kappa_water_distance_diagnostic.null_interval_95_km[0]
archive_language.kappa_water_distance_diagnostic.null_interval_95_km[1],0.377,results.json,archive_language.kappa_water_distance_diagnostic.null_interval_95_km[1]
archive_language.kappa_water_distance_diagnostic.one_sided_p_smaller,0.932307,results.json,archive_language.kappa_water_distance_diagnostic.one_sided_p_smaller
archive_language.kappa_water_distance_diagnostic.two_sided_p,0.089191,results.json,archive_language.kappa_water_distance_diagnostic.two_sided_p
archive_language.kappa_water_distance_diagnostic.requested_permutations,10000,results.json,archive_language.kappa_water_distance_diagnostic.requested_permutations
archive_language.kappa_water_distance_diagnostic.valid_permutations,10000,results.json,archive_language.kappa_water_distance_diagnostic.valid_permutations
archive_language.kappa_water_distance_diagnostic.seed,20960730,results.json,archive_language.kappa_water_distance_diagnostic.seed
archive_language.robustness.replicates_per_drop_rate,100,results.json,archive_language.robustness.replicates_per_drop_rate
archive_language.robustness.seed,21160730,results.json,archive_language.robustness.seed
